feature,importance
INSULIN_num,0.22933055210538605
Tekanan Darah (mmHg)_num,0.20048567346820034
Glukosa Darah  Sewaktu (mg/dL)_num,0.18330960732214166
Glukosa Darah  Puasa (mg/dL)_num,0.1712484092674531
Persentase kadar HbA1c (%)_num,0.15891393922021646
Kolesterol (mg/dL)_num,0.006319601581126095
BB/TB_num,0.0038042692809387756
USIA_num,0.003452079152632316
BB/TB_80/157,0.0018675149464417594
BB/TB_77/172,0.0017711511258548843
BB/TB_50/188,0.0014665807597522144
BB/TB_71/182,0.0014539894861199656
BB/TB_82/168,0.0014396298379977222
BB/TB_71/172,0.0011050666933234605
BB/TB_74/177,0.0009610971980665735
BB/TB_59/176,0.000933043522907613
BB/TB_63/171,0.0008437040478801946
BB/TB_50/146,0.0008185609864980118
BB/TB_79/145,0.00081576488313257
BB/TB_92/184,0.0007430838874353612
BB/TB_48/170,0.0007188069262098936
BB/TB_51/185,0.0007182312291964659
BB/TB_68/153,0.00068882160691066
BB/TB_75/157,0.0006627453475513934
BB/TB_68/177,0.0006519605939941577
BB/TB_95/179,0.0006219794878053232
BB/TB_55/180,0.0006073831992334183
BB/TB_62/150,0.0005901908632562154
BB/TB_99/178,0.000583820267984986
POLA MAKAN_2X / HARI,0.0005764906891855644
BB/TB_80/176,0.0005607937344883391
BB/TB_57/160,0.0005499775829098038
BB/TB_51/187,0.0005405445576268397
BB/TB_83/158,0.0005335728354872426
JENIS KELAMIN_LAKI - LAKI,0.0005208481037332748
JENIS KELAMIN_PEREMPUAN,0.0005128816540111535
BB/TB_56/159,0.0004982629836266884
BB/TB_62/154,0.00046776497898474154
BB/TB_78/189,0.00045679630040947955
BB/TB_48/151,0.00044974102831062525
BB/TB_61/174,0.0004389757462256739
BB/TB_85/185,0.00043696099444382293
BB/TB_77/188,0.00043258220349805075
BB/TB_75/178,0.0004075923098457781
BB/TB_92/164,0.00040086310827931596
BB/TB_73/186,0.0003995574071916863
BB/TB_65/167,0.00038297354924911087
BB/TB_66/167,0.00037736626158677266
BB/TB_61/165,0.00037498804865841685
BB/TB_65/164,0.0003704799021308049
BB/TB_83/175,0.0003632331923695087
BB/TB_46/176,0.0003323416931388477
BB/TB_77/166,0.00032786564394690333
BB/TB_76/151,0.0003240036746339085
POLA MAKAN_3X / HARI,0.0003150666680106983
BB/TB_67/186,0.0002970612253809044
BB/TB_47/150,0.0002840152608499321
BB/TB_73/184,0.0002830735678039544
BB/TB_77/154,0.0002828678363780265
BB/TB_76/178,0.00027981348540947494
BB/TB_67/157,0.00027370526008930346
BB/TB_48/164,0.000273478562931264
BB/TB_52/187,0.00026754812507730143
BB/TB_94/149,0.0002515153786878627
BB/TB_71/153,0.0002508273068968916
BB/TB_87/186,0.00024144592654976182
